N,J,h,mean_R_sq,err_mean_R_sq,mean_R_gyr_sq,err_mean_R_gyr_sq,mean_e,err_mean_e,mean_e_sq,err_mean_e_sq,mean_e_fourth,err_mean_e_fourth,mean_m,err_mean_m,mean_m_sq,err_mean_m_sq,mean_m_fourth,err_mean_m_fourth,steps
1200,0.5,0,18489,145,0.0,,-1.49672,0.000240364,2.247,0.00071808,5.11073,0.00323469,0.121541,0.000102641,0.0230436,3.788e-05,0.00155078,5.48507e-06,341760000000
2400,0.5,0,52296,370,0.0,,-1.49994,0.000344142,2.25325,0.00103306,5.10807,0.00467908,0.0864818,7.68869e-05,0.0117095,1.99923e-05,0.000406151,1.41893e-06,347440000000
4800,0.5,0,147906,2260,0.0,,-1.5019,0.00077743,2.25744,0.00228973,5.11161,0.0100134,0.0613267,0.000137882,0.0058968,2.41687e-05,0.000103465,7.7966e-07,306240000000
6000,0.5,0,206435,4526,0.0,,-1.50204,0.000903275,2.2576,0.00264742,5.10984,0.0115992,0.0548118,0.000160476,0.00471706,2.8321e-05,6.65646e-05,8.3878e-07,212470000000
7200,0.5,0,298548,39143,0.0,,-1.50083,0.00239543,2.25449,0.00641656,5.09871,0.023934,0.050101,0.000200294,0.00393455,3.08493e-05,4.60753e-05,7.19447e-07,192620000000
100,0.51,0,464,25,0.0,,-1.47535,0.000408278,2.2507,0.00120162,5.73505,0.0060682,0.38565,0.000432623,0.212547,0.000360272,0.097437,0.000238179,52870000000
300,0.51,0,2173,47,0.0,,-1.5484,0.000347415,2.42629,0.00108448,6.16956,0.00549172,0.261371,0.000339903,0.103292,0.00022225,0.0275913,0.000102573,55250000000
600,0.51,0,5938,85,0.0,,-1.56811,0.000390148,2.47416,0.00122958,6.2733,0.00624927,0.19357,0.000297823,0.0578376,0.000156735,0.00933665,4.4947e-05,56450000000
1200,0.51,0,16504,167,0.0,,-1.57664,0.000609497,2.49342,0.00192781,6.29377,0.00974724,0.139606,0.000277981,0.0303486,0.000124777,0.00266289,2.41432e-05,54580000000
2400,0.51,0,45900,350,0.0,,-1.58174,0.000381943,2.50579,0.00121017,6.31789,0.00610818,0.0999288,0.000140634,0.0156213,4.07206e-05,0.000720049,3.65616e-06,313760000000
4800,0.51,0,129677,2461,0.0,,-1.58454,0.000648484,2.51272,0.00206377,6.33336,0.0104706,0.0711949,0.000125953,0.00794102,2.87308e-05,0.000187407,1.47162e-06,311950000000
6000,0.51,0,192099,6569,0.0,,-1.58521,0.000926281,2.51464,0.00284552,6.34049,0.0137664,0.0638021,0.000156785,0.00638417,3.099e-05,0.00012137,1.21969e-06,216020000000
7200,0.51,0,242252,9962,0.0,,-1.58454,0.000949523,2.51216,0.00297259,6.32426,0.0147887,0.0583241,0.00017487,0.00532704,3.23876e-05,8.40674e-05,1.0585e-06,188200000000
100,0.52,0,433,23,0.0,,-1.53685,0.00051361,2.43823,0.00158022,6.68845,0.008415,0.417979,0.000415437,0.245008,0.000404077,0.122682,0.000363865,50800000000
300,0.52,0,1930,49,0.0,,-1.62834,0.000464592,2.68293,0.00159242,7.53932,0.00971278,0.299445,0.000343471,0.133362,0.000301621,0.043495,0.000198726,52180000000
600,0.52,0,5120,74,0.0,,-1.6564,0.000548748,2.76075,0.00182677,7.81249,0.0103281,0.228434,0.000354882,0.0797218,0.000237969,0.0170687,9.92846e-05,54270000000
1200,0.52,0,14021,159,0.0,,-1.67007,0.000812071,2.79812,0.00269667,7.9308,0.0150147,0.168232,0.000414112,0.0438898,0.000206465,0.00548622,4.93738e-05,53670000000
